央视频道,#genre#
CCTV1,http://110.84.214.191:1000/udp/239.61.4.176:1025
CCTV2,http://110.84.214.191:1000/udp/239.61.5.61:1025
CCTV3,http://110.84.214.191:1000/udp/239.61.4.117:1025
CCTV4,http://110.84.214.191:1000/udp/239.61.5.56:1025
CCTV5,http://110.84.214.191:1000/udp/239.61.4.118:1025
CCTV5+,http://110.84.214.191:1000/udp/239.61.5.58:1025
CCTV6,http://110.84.214.191:1000/udp/239.61.4.119:1025
CCTV7,http://110.84.214.191:1000/udp/239.61.5.62:1025
CCTV8,http://110.84.214.191:1000/udp/239.61.4.116:1025
CCTV8,http://110.84.214.191:1000/udp/239.61.4.137:1025
CCTV9,http://110.84.214.191:1000/udp/239.61.5.59:1025
CCTV10,http://110.84.214.191:1000/udp/239.61.5.63:1025
CCTV11,http://110.84.214.191:1000/udp/239.61.4.21:1025
CCTV12,http://110.84.214.191:1000/udp/239.61.4.22:1025
CCTV13,http://110.84.214.191:1000/udp/239.61.4.23:1025
CCTV14,http://110.84.214.191:1000/udp/239.61.5.65:1025
CCTV15,http://110.84.214.191:1000/udp/239.61.4.25:1025
CCTV16,http://110.84.214.191:1000/udp/239.61.4.135:1025
CCTV17,http://110.84.214.191:1000/udp/239.61.5.158:1025
CGTN,http://110.84.214.191:1000/udp/239.61.4.131:1025
CGTN,http://110.84.214.191:1000/udp/239.61.4.19:1025
CGTN俄语,http://110.84.214.191:1000/udp/239.61.4.132:1025
CGTN记录,http://110.84.214.191:1000/udp/239.61.4.133:1025
CETV1,http://110.84.214.191:1000/udp/239.61.5.53:1025
CETV2,http://110.84.214.191:1000/udp/239.61.5.169:1025
CETV4,http://110.84.214.191:1000/udp/239.61.5.196:1025
卫视频道,#genre#
北京卫视4K,http://110.84.214.191:1000/udp/239.61.4.194:1025
广东卫视4K,http://110.84.214.191:1000/udp/239.61.4.195:1025
深圳卫视4K,http://110.84.214.191:1000/udp/239.61.4.196:1025
北京卫视,http://110.84.214.191:1000/udp/239.61.4.32:1025
东方卫视,http://110.84.214.191:1000/udp/239.61.4.28:1025
江苏卫视,http://110.84.214.191:1000/udp/239.61.4.30:1025
浙江卫视,http://110.84.214.191:1000/udp/239.61.4.29:1025
广东卫视,http://110.84.214.191:1000/udp/239.61.4.33:1025
湖南卫视,http://110.84.214.191:1000/udp/239.61.4.31:1025
东南卫视,http://110.84.214.191:1000/udp/239.61.4.114:1025
天津卫视,http://110.84.214.191:1000/udp/239.61.5.67:1025
重庆卫视,http://110.84.214.191:1000/udp/239.61.5.159:1025
深圳卫视,http://110.84.214.191:1000/udp/239.61.4.134:1025
山东卫视,http://110.84.214.191:1000/udp/239.61.4.37:1025
山西卫视,http://110.84.214.191:1000/udp/239.61.5.110:1025
陕西卫视,http://110.84.214.191:1000/udp/239.61.4.40:1025
四川卫视,http://110.84.214.191:1000/udp/239.61.5.160:1025
河北卫视,http://110.84.214.191:1000/udp/239.61.4.59:1025
黑龙江卫视,http://110.84.214.191:1000/udp/239.61.4.34:1025
湖北卫视,http://110.84.214.191:1000/udp/239.61.4.36:1025
安徽卫视,http://110.84.214.191:1000/udp/239.61.5.157:1025
海南卫视,http://110.84.214.191:1000/udp/239.61.4.44:1025
海峡卫视,http://110.84.214.191:1000/udp/239.61.5.45:1025
甘肃卫视,http://110.84.214.191:1000/udp/239.61.5.111:1025
广西卫视,http://110.84.214.191:1000/udp/239.61.4.50:1025
贵州卫视,http://110.84.214.191:1000/udp/239.61.5.46:1025
吉林卫视,http://110.84.214.191:1000/udp/239.61.5.109:1025
江西卫视,http://110.84.214.191:1000/udp/239.61.5.69:1025
江西卫视,http://110.84.214.191:1000/udp/239.61.2.182:9080
辽宁卫视,http://110.84.214.191:1000/udp/239.61.5.68:1025
兵团卫视,http://110.84.214.191:1000/udp/239.61.5.114:1025
大湾区卫视,http://110.84.214.191:1000/udp/239.61.5.170:1025
云南卫视,http://110.84.214.191:1000/udp/239.61.4.63:1025
新疆卫视,http://110.84.214.191:1000/udp/239.61.5.113:1025
西藏卫视,http://110.84.214.191:1000/udp/239.61.5.115:1025
内蒙古卫视,http://110.84.214.191:1000/udp/239.61.5.112:1025
宁夏卫视,http://110.84.214.191:1000/udp/239.61.4.58:1025
青海卫视,http://110.84.214.191:1000/udp/239.61.4.62:1025
三沙卫视,http://110.84.214.191:1000/udp/239.61.5.191:1025
厦门卫视,http://110.84.214.191:1000/udp/239.61.4.11:1025
凤凰中文,http://110.84.214.191:1000/udp/239.61.5.184:1025
凤凰中文HD,http://110.84.214.191:1000/udp/239.61.2.184:9092
凤凰资讯,http://110.84.214.191:1000/udp/239.61.2.183:9086
凤凰资讯HD,http://110.84.214.191:1000/udp/239.61.5.213:1025
数字频道,#genre#
CHC动作电影,http://110.84.214.191:1000/udp/239.61.4.169:1025
爱上4K,http://110.84.214.191:1000/udp/239.61.5.164:1025
百视4K,http://110.84.214.191:1000/udp/239.61.4.129:1025
哈哈炫动,http://110.84.214.191:1000/udp/239.61.4.72:1025
欢笑剧场,http://110.84.214.191:1000/udp/239.61.5.30:1025
欢笑剧场4K,http://110.84.214.191:1000/udp/239.61.4.145:1025
纪实人文,http://110.84.214.191:1000/udp/239.61.5.51:1025
财富天下,http://110.84.214.191:1000/udp/239.61.4.186:1025
茶频道,http://110.84.214.191:1000/udp/239.61.4.167:1025
超级体育,http://110.84.214.191:1000/udp/239.61.5.15:1025
车迷,http://110.84.214.191:1000/udp/239.61.4.163:1025
第一财经,http://110.84.214.191:1000/udp/239.61.4.161:1025
东方财经,http://110.84.214.191:1000/udp/239.61.4.78:1025
动漫秀场,http://110.84.214.191:1000/udp/239.61.5.32:1025
都市剧场,http://110.84.214.191:1000/udp/239.61.5.33:1025
金色学堂,http://110.84.214.191:1000/udp/239.61.4.80:1025
金鹰纪实,http://110.84.214.191:1000/udp/239.61.5.171:1025
金鹰卡通,http://110.84.214.191:1000/udp/239.61.5.107:1025
卡酷少儿,http://110.84.214.191:1000/udp/239.61.5.108:1025
快乐垂钓,http://110.84.214.191:1000/udp/239.61.4.198:1025
乐游,http://110.84.214.191:1000/udp/239.61.5.31:1025
梨园,http://110.84.214.191:1000/udp/239.61.4.170:1025
生活时尚,http://110.84.214.191:1000/udp/239.61.5.25:1025
生态环境,http://110.84.214.191:1000/udp/239.61.4.166:1025
四海钓鱼,http://110.84.214.191:1000/udp/239.61.4.183:1025
文物宝库,http://110.84.214.191:1000/udp/239.61.4.171:1025
武术世界,http://110.84.214.191:1000/udp/239.61.4.172:1025
先锋乒羽,http://110.84.214.191:1000/udp/239.61.4.168:1025
新动漫,http://110.84.214.191:1000/udp/239.61.4.173:1025
优优宝贝,http://110.84.214.191:1000/udp/239.61.4.164:1025
游戏风云,http://110.84.214.191:1000/udp/239.61.5.29:1025
中国天气,http://110.84.214.191:1000/udp/239.61.4.66:1025
中华特产,http://110.84.214.191:1000/udp/239.61.4.162:1025
中学生,http://110.84.214.191:1000/udp/239.61.4.188:1025
风景,http://110.84.214.191:1000/udp/239.61.4.141:1025
Bestv,http://110.84.214.191:1000/udp/239.61.5.10:1025
Bestv,http://110.84.214.191:1000/udp/239.61.5.14:1025
Bestv,http://110.84.214.191:1000/udp/239.61.5.9:1025
Bestv电竞,http://110.84.214.191:1000/udp/239.61.5.19:1025
福建频道,#genre#
福建综合,http://110.84.214.191:1000/udp/239.61.5.162:1025
福建电视剧,http://110.84.214.191:1000/udp/239.61.4.5:1025
福建公共,http://110.84.214.191:1000/udp/239.61.4.3:1025
福建教育,http://110.84.214.191:1000/udp/239.61.5.60:1025
福建经济,http://110.84.214.191:1000/udp/239.61.4.7:1025
福建旅游,http://110.84.214.191:1000/udp/239.61.4.6:1025
福建少儿,http://110.84.214.191:1000/udp/239.61.4.9:1025
福建体育,http://110.84.214.191:1000/udp/239.61.5.44:1025
福建新闻,http://110.84.214.191:1000/udp/239.61.4.4:1025
福建交通广播,http://110.84.214.191:1000/udp/239.61.5.155:1025
福州新闻,http://110.84.214.191:1000/udp/239.61.5.97:1025
龙岩新闻,http://110.84.214.191:1000/udp/239.61.5.95:1025
南平新闻,http://110.84.214.191:1000/udp/239.61.5.92:1025
宁德新闻,http://110.84.214.191:1000/udp/239.61.5.96:1025
平潭新闻,http://110.84.214.191:1000/udp/239.61.5.117:1025
莆田新闻,http://110.84.214.191:1000/udp/239.61.5.94:1025
泉州新闻,http://110.84.214.191:1000/udp/239.61.5.98:1025
三明新闻,http://110.84.214.191:1000/udp/239.61.5.93:1025
漳州新闻,http://110.84.214.191:1000/udp/239.61.5.91:1025
厦门1,http://110.84.214.191:1000/udp/239.61.4.139:1025
厦门2,http://110.84.214.191:1000/udp/239.61.4.140:1025
