央视高清,#genre#
CCTV1高清,http://171.213.157.231:4022/udp/239.93.0.184:5140
CCTV2高清,http://171.213.157.231:4022/udp/239.93.1.23:6000
CCTV3高清,http://171.213.157.231:4022/udp/239.93.0.109:5140
CCTV4高清,http://171.213.157.231:4022/udp/239.93.1.105:5140
CCTV5高清,http://171.213.157.231:4022/udp/239.93.42.37:5140
CCTV6高清,http://171.213.157.231:4022/udp/239.93.0.64:5140
CCTV7高清,http://171.213.157.231:4022/udp/239.93.1.67:5140
CCTV8高清,http://171.213.157.231:4022/udp/239.93.42.39:5140
CCTV9高清,http://171.213.157.231:4022/udp/239.93.1.24:5140
CCTV10高清,http://171.213.157.231:4022/udp/239.93.1.28:5140
CCTV11高清,http://171.213.157.231:4022/udp/239.93.0.102:5140
CCTV12高清,http://171.213.157.231:4022/udp/239.93.1.30:8124
CCTV13高清,http://171.213.157.231:4022/udp/239.93.0.66:5140
CCTV14高清,http://171.213.157.231:4022/udp/239.93.1.29:6000
CCTV15高清,http://171.213.157.231:4022/udp/239.93.0.103:5140
CCTV16高清,http://171.213.157.231:4022/udp/239.93.42.53:5140
CCTV17高清,http://171.213.157.231:4022/udp/239.93.0.92:5140
CCTV5＋高清,http://171.213.157.231:4022/udp/239.93.1.36:8004
CGTN英语,http://171.213.157.231:4022/udp/239.93.0.104:5140
CGTN西班牙语,http://171.213.157.231:4022/udp/239.93.42.49:5140
CGTN法语,http://171.213.157.231:4022/udp/239.93.42.50:5140
CCTV16 4K,http://171.213.157.231:4022/udp/239.93.42.54:5140
CETV1高清,http://171.213.157.231:4022/udp/239.93.1.111:5140
CETV4,http://171.213.157.231:4022/udp/239.93.10.128:7828
卫视高清,#genre#
四川卫视高清,http://171.213.157.231:4022/udp/239.93.0.20:1235
湖南卫视高清,http://171.213.157.231:4022/udp/239.93.0.88:5140
江苏卫视高清,http://171.213.157.231:4022/udp/239.93.0.89:5140
浙江卫视高清,http://171.213.157.231:4022/udp/239.93.0.124:5140
东方卫视高清,http://171.213.157.231:4022/udp/239.93.0.123:5140
北京卫视高清,http://171.213.157.231:4022/udp/239.93.0.180:5140
深圳卫视高清,http://171.213.157.231:4022/udp/239.93.0.182:5140
广东卫视高清,http://171.213.157.231:4022/udp/239.93.0.181:5140
天津卫视高清,http://171.213.157.231:4022/udp/239.93.0.167:5140
山东卫视高清,http://171.213.157.231:4022/udp/239.93.0.168:5140
江西卫视高清,http://171.213.157.231:4022/udp/239.93.0.134:5140
东南卫视高清,http://171.213.157.231:4022/udp/239.93.0.42:5140
黑龙江卫视高清,http://171.213.157.231:4022/udp/239.93.0.183:5140
重庆卫视高清,http://171.213.157.231:4022/udp/239.93.1.107:5140
贵州卫视高清,http://171.213.157.231:4022/udp/239.93.0.131:5140
湖北卫视高清,http://171.213.157.231:4022/udp/239.93.0.250:5140
安徽卫视高清,http://171.213.157.231:4022/udp/239.93.1.106:5140
河北卫视高清,http://171.213.157.231:4022/udp/239.93.0.132:5140
辽宁卫视高清,http://171.213.157.231:4022/udp/239.93.1.108:5140
河南卫视高清,http://171.213.157.231:4022/udp/239.93.42.45:5140
广西卫视高清,http://171.213.157.231:4022/udp/239.93.42.46:5140
吉林卫视高清,http://171.213.157.231:4022/udp/239.93.0.248:5140
云南卫视,http://171.213.157.231:4022/udp/239.93.10.39:8228
陕西卫视,http://171.213.157.231:4022/udp/239.93.0.143:5140
山西卫视,http://171.213.157.231:4022/udp/239.93.0.6:5140
内蒙古卫视,http://171.213.157.231:4022/udp/239.93.0.8:5140
青海卫视,http://171.213.157.231:4022/udp/239.93.0.192:5140
宁夏卫视,http://171.213.157.231:4022/udp/239.93.0.247:5140
西藏卫视,http://171.213.157.231:4022/udp/239.93.0.175:5140
新疆卫视,http://171.213.157.231:4022/udp/239.93.0.194:5140
甘肃卫视高清,http://171.213.157.231:4022/udp/239.93.0.81:5140
海南卫视,http://171.213.157.231:4022/udp/239.93.0.80:5140
陕西农林,http://171.213.157.231:4022/udp/239.93.0.100:5140
兵团卫视,http://171.213.157.231:4022/udp/239.93.42.43:5140
峨眉电影,http://171.213.157.231:4022/udp/239.93.0.252:5140
厦门卫视,http://171.213.157.231:4022/udp/239.93.42.57:5140
三沙卫视,http://171.213.157.231:4022/udp/239.93.42.58:5140
凤凰卫视中文台,http://171.213.157.231:4022/udp/239.93.0.162:2192
凤凰中文资讯台,http://171.213.157.231:4022/udp/239.93.0.118:2191
凤凰中文,http://171.213.157.231:4022/udp/239.93.1.9:2192
凤凰资讯,http://171.213.157.231:4022/udp/239.93.1.4:2191
V音乐台,http://171.213.157.231:4022/udp/239.93.0.157:2194
星空卫视,http://171.213.157.231:4022/udp/239.93.0.156:2193
网络数字,#genre#
求索频道高清,http://171.213.157.231:4022/udp/239.93.42.24:5140
上海纪实高清,http://171.213.157.231:4022/udp/239.93.1.137:5140
金鹰纪实高清,http://171.213.157.231:4022/udp/239.93.0.130:5140
炫动卡通,http://171.213.157.231:4022/udp/239.93.0.173:5140
嘉佳卡通,http://171.213.157.231:4022/udp/239.93.0.246:5140
卡酷动画,http://171.213.157.231:4022/udp/239.93.0.208:5140
金鹰卡通,http://171.213.157.231:4022/udp/239.93.0.108:5140
优漫卡通,http://171.213.157.231:4022/udp/239.93.0.251:5140
宝宝动画高清,http://171.213.157.231:4022/udp/239.93.0.147:5140
少儿动画高清,http://171.213.157.231:4022/udp/239.93.0.193:9000
青春动漫,http://171.213.157.231:4022/udp/239.93.0.146:5140
热门综艺高清,http://171.213.157.231:4022/udp/239.93.0.151:5140
音乐现场高清,http://171.213.157.231:4022/udp/239.93.0.198:9044
戏曲精选,http://171.213.157.231:4022/udp/239.93.0.144:5140
戏曲,http://171.213.157.231:4022/udp/239.93.0.217:9208
魅力时尚高清,http://171.213.157.231:4022/udp/239.93.0.190:9012
生活时尚,http://171.213.157.231:4022/udp/239.93.0.106:5140
爱生活高清,http://171.213.157.231:4022/udp/239.93.0.206:8028
电竞天堂高清,http://171.213.157.231:4022/udp/239.93.1.135:5140
游戏风云,http://171.213.157.231:4022/udp/239.93.0.136:5140
汽车频道,http://171.213.157.231:4022/udp/239.93.0.117:1292
纪实人文,http://171.213.157.231:4022/udp/239.93.1.154:5140
来钓鱼吧,http://171.213.157.231:4022/udp/239.93.42.8:5140
麻辣体育,http://171.213.157.231:4022/udp/239.93.42.2:5140
四川本地,#genre#
SCTV2高清,http://171.213.157.231:4022/udp/239.93.1.101:5140
SCTV3高清,http://171.213.157.231:4022/udp/239.93.1.102:5140
SCTV4高清,http://171.213.157.231:4022/udp/239.93.0.47:5140
SCTV5高清,http://171.213.157.231:4022/udp/239.93.0.166:5140
SCTV6高清,http://171.213.157.231:4022/udp/239.93.1.144:5140
SCTV7高清,http://171.213.157.231:4022/udp/239.93.0.219:5140
SCTV科教高清,http://171.213.157.231:4022/udp/239.93.42.44:5140
四川乡村高清,http://171.213.157.231:4022/udp/239.93.0.52:5140
峨眉电影高清,http://171.213.157.231:4022/udp/239.93.0.252:5140
康巴卫视高清,http://171.213.157.231:4022/udp/239.93.0.41:5140
CDTV1高清,http://171.213.157.231:4022/udp/239.93.0.16:5140
CDTV2,http://171.213.157.231:4022/udp/239.93.0.17:1239
CDTV3,http://171.213.157.231:4022/udp/239.93.0.18:1238
CDTV4,http://171.213.157.231:4022/udp/239.93.0.19:1250
CDTV5,http://171.213.157.231:4022/udp/239.93.1.231:5140
CDTV6,http://171.213.157.231:4022/udp/239.93.0.21:1251
CDTV7,http://171.213.157.231:4022/udp/239.93.0.224:1281
CDTV8,http://171.213.157.231:4022/udp/239.93.0.22:1252
中国交通,http://171.213.157.231:4022/udp/239.93.0.142:5140
乐山,http://171.213.157.231:4022/udp/239.93.1.55:8302
蓉城先锋,http://171.213.157.231:4022/udp/239.93.0.91:2101
影院高清,#genre#
每日影院,http://171.213.157.231:4022/udp/239.93.42.35:5140
爱怀旧高清,http://171.213.157.231:4022/udp/239.93.42.21:5140
爱喜剧高清,http://171.213.157.231:4022/udp/239.93.42.9:5140
爱奇谈高清,http://171.213.157.231:4022/udp/239.93.42.22:5140
爱科幻高清,http://171.213.157.231:4022/udp/239.93.42.10:5140
爱院线高清,http://171.213.157.231:4022/udp/239.93.42.11:5140
幸福剧场,http://171.213.157.231:4022/udp/239.93.42.30:5140
爱谍战高清,http://171.213.157.231:4022/udp/239.93.42.14:5140
爱经典高清,http://171.213.157.231:4022/udp/239.93.42.13:5140
爱悬疑高清,http://171.213.157.231:4022/udp/239.93.42.12:5140
爱青春高清,http://171.213.157.231:4022/udp/239.93.42.16:5140
爱都市高清,http://171.213.157.231:4022/udp/239.93.42.15:5140
少儿天地,http://171.213.157.231:4022/udp/239.93.42.34:5140
爱幼教高清,http://171.213.157.231:4022/udp/239.93.42.17:5140
爱玩具高清,http://171.213.157.231:4022/udp/239.93.42.18:5140
爱动漫高清,http://171.213.157.231:4022/udp/239.93.42.23:5140
爱电竞高清,http://171.213.157.231:4022/udp/239.93.42.19:5140
爱赛车高清,http://171.213.157.231:4022/udp/239.93.42.20:5140
爱宠宠物,http://171.213.157.231:4022/udp/239.93.42.32:5140
HD看电影,http://171.213.157.231:4022/udp/239.93.42.47:5140
家政频道高清,http://171.213.157.231:4022/udp/239.93.42.48:5140
经典电影,http://171.213.157.231:4022/udp/239.93.0.57:9024
华语影院,http://171.213.157.231:4022/udp/239.93.0.138:5140
星光院线,http://171.213.157.231:4022/udp/239.93.0.139:5140
全球大片,http://171.213.157.231:4022/udp/239.93.0.105:5140
热播剧场,http://171.213.157.231:4022/udp/239.93.0.56:9020
热门剧场,http://171.213.157.231:4022/udp/239.93.0.140:5140
谍战剧场,http://171.213.157.231:4022/udp/239.93.0.95:5140
风尚生活,http://171.213.157.231:4022/udp/239.93.42.29:5140
幸福娱乐,http://171.213.157.231:4022/udp/239.93.42.31:5140
4k超高清,#genre#
绚影4K,http://171.213.157.231:4022/udp/239.93.42.33:5140
无台标4K,http://171.213.157.231:4022/udp/239.93.0.43:5140
爱上4K,http://171.213.157.231:4022/udp/239.93.0.97:5140
中录动漫4K,http://171.213.157.231:4022/udp/239.93.1.188:5140
亲子趣学4K,http://171.213.157.231:4022/udp/239.93.1.191:5140
津津悦读4K,http://171.213.157.231:4022/udp/239.93.1.197:5140
军情观察4K,http://171.213.157.231:4022/udp/239.93.1.198:5140
百视通4K,http://hjb.mba:8888/udp/239.93.42.75:5140
