央视频道,#genre#
CCTV1,http://182.129.200.63:8888/udp/239.93.10.133:9260
CCTV2,http://182.129.200.63:8888/udp/239.93.10.60:8354
CCTV3,http://182.129.200.63:8888/udp/239.93.10.141:9320
CCTV4,http://182.129.200.63:8888/udp/239.93.11.186:7728
CCTV5,http://182.129.200.63:8888/udp/239.93.10.143:9332
CCTV5+,http://182.129.200.63:8888/udp/239.93.10.78:8462
CCTV6,http://182.129.200.63:8888/udp/239.93.10.144:9338
CCTV7,http://182.129.200.63:8888/udp/239.93.10.64:8378
CCTV8,http://182.129.200.63:8888/udp/239.93.10.145:9344
CCTV9,http://182.129.200.63:8888/udp/239.93.10.61:8360
CCTV10,http://182.129.200.63:8888/udp/239.93.10.65:8384
CCTV11,http://182.129.200.63:8888/udp/239.93.10.129:7914
CCTV12,http://182.129.200.63:8888/udp/239.93.10.68:8402
CCTV13,http://182.129.200.63:8888/udp/239.93.11.210:8278
CCTV14,http://182.129.200.63:8888/udp/239.93.10.69:8408
CCTV15,http://182.129.200.63:8888/udp/239.93.10.131:7918
CCTV17,http://182.129.200.63:8888/udp/239.93.10.154:7832
CGTN,http://182.129.200.63:8888/udp/239.93.10.242:9924
卫视频道,#genre#
四川卫视,http://182.129.200.63:8888/udp/239.93.10.107:8636
湖南卫视,http://182.129.200.63:8888/udp/239.93.10.193:9630
江苏卫视,http://182.129.200.63:8888/udp/239.93.10.194:9636
浙江卫视,http://182.129.200.63:8888/udp/239.93.10.215:9762
东方卫视,http://182.129.200.63:8888/udp/239.93.10.216:9768
北京卫视,http://182.129.200.63:8888/udp/239.93.10.137:9296
深圳卫视,http://182.129.200.63:8888/udp/239.93.10.139:9308
广东卫视,http://182.129.200.63:8888/udp/239.93.10.132:9254
天津卫视,http://182.129.200.63:8888/udp/239.93.10.125:8750
山东卫视,http://182.129.200.63:8888/udp/239.93.10.126:8756
江西卫视,http://182.129.200.63:8888/udp/239.93.11.214:7748
东南卫视,http://182.129.200.63:8888/udp/239.93.11.89:7356
黑龙江卫视,http://182.129.200.63:8888/udp/239.93.10.140:9314
重庆卫视,http://182.129.200.63:8888/udp/239.93.10.7:8024
贵州卫视,http://182.129.200.63:8888/udp/239.93.11.201:7744
湖北卫视,http://182.129.200.63:8888/udp/239.93.10.127:8762
安徽卫视,http://182.129.200.63:8888/udp/239.93.11.190:7974
河北卫视,http://182.129.200.63:8888/udp/239.93.11.180:7752
辽宁卫视,http://182.129.200.63:8888/udp/239.93.10.191:7978
河南卫视,http://182.129.200.63:8888/udp/239.93.11.209:8270
广西卫视,http://182.129.200.63:8888/udp/239.93.11.208:8266
云南卫视,http://182.129.200.63:8888/udp/239.93.10.39:8228
吉林卫视,http://182.129.200.63:8888/udp/239.93.10.221:9798
陕西卫视,http://182.129.200.63:8888/udp/239.93.10.48:8282
山西卫视,http://182.129.200.63:8888/udp/239.93.10.36:8210
内蒙古卫视,http://182.129.200.63:8888/udp/239.93.10.52:8306
青海卫视,http://182.129.200.63:8888/udp/239.93.10.44:8258
宁夏卫视,http://182.129.200.63:8888/udp/239.93.10.152:9386
